fecha,costo_produccion_cafe
2006-01-01,152.300
2006-02-01,152.300
2006-03-01,152.700
2006-04-01,152.700
2006-05-01,152.800
2006-06-01,152.900
2006-07-01,152.900
2006-08-01,152.600
2006-09-01,152.200
2006-10-01,156.600
2006-11-01,156.600
2006-12-01,156.800
2007-01-01,161.300
2007-02-01,163.100
2007-03-01,162.700
2007-04-01,162.000
2007-05-01,162.500
2007-06-01,162.500
2007-07-01,162.400
2007-08-01,163.400
2007-09-01,163.500
2007-10-01,163.400
2007-11-01,168.700
2007-12-01,168.500
2008-01-01,170.800
2008-02-01,175.300
2008-03-01,183.000
2008-04-01,178.800
2008-05-01,178.500
2008-06-01,178.700
2008-07-01,180.100
2008-08-01,180.700
2008-09-01,181.400
2008-10-01,181.500
2008-11-01,181.500
2008-12-01,177.000
2009-01-01,176.300
2009-02-01,176.900
2009-03-01,176.400
2009-04-01,180.400
2009-05-01,179.700
2009-06-01,179.800
2009-07-01,180.000
2009-08-01,180.000
2009-09-01,180.100
2009-10-01,179.600
2009-11-01,180.300
2009-12-01,180.700
2010-01-01,180.700
2010-02-01,181.100
2010-03-01,181.900
2010-04-01,183.700
2010-05-01,185.100
2010-06-01,186.700
2010-07-01,188.900
2010-08-01,194.100
2010-09-01,193.900
2010-10-01,197.300
2010-11-01,202.000
2010-12-01,207.100
2011-01-01,204.100
2011-02-01,208.300
2011-03-01,214.200
2011-04-01,216.300
2011-05-01,221.000
2011-06-01,232.500
2011-07-01,232.800
2011-08-01,232.300
2011-09-01,233.700
2011-10-01,232.200
2011-11-01,229.300
2011-12-01,230.200
2012-01-01,227.100
2012-02-01,227.400
2012-03-01,225.000
2012-04-01,222.600
2012-05-01,216.700
2012-06-01,216.200
2012-07-01,213.300
2012-08-01,213.200
2012-09-01,213.700
2012-10-01,213.000
2012-11-01,205.700
2012-12-01,205.400
2013-01-01,207.100
2013-02-01,206.100
2013-03-01,200.700
2013-04-01,199.000
2013-05-01,197.600
2013-06-01,197.700
2013-07-01,196.000
2013-08-01,195.300
2013-09-01,195.400
2013-10-01,194.700
2013-11-01,193.300
2013-12-01,193.000
2014-01-01,191.900
2014-02-01,191.500
2014-03-01,193.600
2014-04-01,193.800
2014-05-01,193.800
2014-06-01,196.200
2014-07-01,200.200
2014-08-01,203.900
2014-09-01,203.300
2014-10-01,205.100
2014-11-01,207.700
2014-12-01,206.400
2015-01-01,209.500
2015-02-01,206.500
2015-03-01,204.200
2015-04-01,205.000
2015-05-01,205.100
2015-06-01,204.500
2015-07-01,204.800
2015-08-01,205.200
2015-09-01,204.200
2015-10-01,202.800
2015-11-01,202.000
2015-12-01,202.400
2016-01-01,201.900
2016-02-01,201.000
2016-03-01,199.300
2016-04-01,199.500
2016-05-01,198.900
2016-06-01,195.000
2016-07-01,195.100
2016-08-01,193.700
2016-09-01,193.900
2016-10-01,193.300
2016-11-01,191.500
2016-12-01,192.800
2017-01-01,192.200
2017-02-01,195.100
2017-03-01,193.800
2017-04-01,194.000
2017-05-01,194.400
2017-06-01,194.100
2017-07-01,193.800
2017-08-01,193.700
2017-09-01,193.200
2017-10-01,193.700
2017-11-01,194.400
2017-12-01,194.600
2018-01-01,194.100
2018-02-01,194.500
2018-03-01,194.900
2018-04-01,194.500
2018-05-01,194.200
2018-06-01,194.200
2018-07-01,194.200
2018-08-01,193.800
2018-09-01,193.400
2018-10-01,193.600
2018-11-01,193.600
2018-12-01,193.800
2019-01-01,193.900
2019-02-01,194.500
2019-03-01,195.000
2019-04-01,194.100
2019-05-01,194.300
2019-06-01,193.600
2019-07-01,193.900
2019-08-01,194.900
2019-09-01,195.200
2019-10-01,193.500
2019-11-01,193.500
2019-12-01,193.500
2020-01-01,194.200
2020-02-01,194.300
2020-03-01,194.700
2020-04-01,193.400
2020-05-01,194.600
2020-06-01,194.300
2020-07-01,195.100
2020-08-01,195.100
2020-09-01,195.600
2020-10-01,195.800
2020-11-01,196.600
2020-12-01,195.400
2021-01-01,195.400
2021-02-01,194.700
2021-03-01,197.600
2021-04-01,197.400
2021-05-01,197.400
2021-06-01,199.500
2021-07-01,198.578
2021-08-01,197.911
2021-09-01,198.722
2021-10-01,197.397
2021-11-01,199.563
2021-12-01,201.640
2022-01-01,203.741
2022-02-01,220.865
2022-03-01,222.804
2022-04-01,222.400
2022-05-01,222.638
2022-06-01,227.515
2022-07-01,223.231
2022-08-01,227.983
2022-09-01,236.812
2022-10-01,239.029
2022-11-01,240.611
2022-12-01,241.822
2023-01-01,241.138
2023-02-01,240.702
2023-03-01,239.662
2023-04-01,240.495
2023-05-01,241.034
2023-06-01,240.841
2023-07-01,241.688
2023-08-01,255.672
2023-09-01,256.478
2023-10-01,256.010
2023-11-01,255.965
2023-12-01,256.609
2024-01-01,256.063
2024-02-01,255.540
2024-03-01,255.204
2024-04-01,253.486
2024-05-01,254.929
2024-06-01,257.089
2024-07-01,265.087
2024-08-01,271.582
2024-09-01,272.546
2024-10-01,288.601
2024-11-01,289.152
2024-12-01,290.405
2025-01-01,293.516
2025-02-01,292.808
2025-03-01,301.444
2025-04-01,303.895
2025-05-01,334.053
2025-06-01,335.656
2025-07-01,338.897
2025-08-01,362.016
2025-09-01,359.903
2025-10-01,361.677
2025-11-01,361.565
2025-12-01,364.518
2026-01-01,367.200
